symbol
AAPL
MSFT
NVDA
AMZN
GOOGL
META
TSLA
BRK-B
JPM
V
MA
UNH
LLY
AVGO
XOM
COST
WMT
PG
NFLX
ORCL
ADBE
AMD
CRM
KO
PEP
ABBV
BAC
HD
MCD
MRK
DIS
CSCO
TSM
ASML
NVO
SPY
IVV
VOO
QQQ
VTI
IWM
DIA
XLK
XLF
XLE
XLI
XLV
XLP
XLY
XLU
VNQ
ARKK
BITO
IBIT
ETHA
GLD
SLV
TLT
HYG
EEM
BTC-USD
ETH-USD
SOL-USD
BNB-USD
XRP-USD
ADA-USD
DOGE-USD
AVAX-USD
SHIB-USD
DOT-USD
TRX-USD
LINK-USD
MATIC-USD
BCH-USD
LTC-USD
ATOM-USD
ETC-USD
XLM-USD
PETR4.SA
VALE3.SA
ITUB4.SA
BBDC4.SA
BBAS3.SA
WEGE3.SA
B3SA3.SA
ABEV3.SA
SUZB3.SA
RENT3.SA
PRIO3.SA
RAIL3.SA
LREN3.SA
GGBR4.SA
BPAC11.SA
HAPV3.SA
